input_dec,input_hex,dut_ceil_log2
2147483650,0x80000002,32
2147483794,0x80000092,32
2147483904,0x80000100,32
2147484040,0x80000188,32
2147484201,0x80000229,32
2147484441,0x80000319,32
2147484536,0x80000378,32
2156566286,0x808a970e,32
2161582918,0x80d72346,32
2209340866,0x83afddc2,32
2262581655,0x86dc4197,32
2271560481,0x87654321,32
2286783642,0x884d8c9a,32
2325684684,0x8a9f21cc,32
2328496292,0x8aca08a4,32
2329243152,0x8ad56e10,32
2333943693,0x8b1d278d,32
2350616055,0x8c1b8df7,32
2355203771,0x8c618ebb,32
2362916677,0x8cd73f45,32
2372898944,0x8d6f9080,32
2393424508,0x8ea8c27c,32
2406492875,0x8f702acb,32
2406727129,0x8f73bdd9,32
2409024900,0x8f96cd84,32
2410882166,0x8fb32476,32
2414323860,0x8fe7a894,32
2436568267,0x913b14cb,32
2442069324,0x918f054c,32
2452213066,0x9229cd4a,32
2465903159,0x92fab237,32
2466165380,0x92feb284,32
2473725764,0x93720f44,32
2482566156,0x93f8f40c,32
2488161017,0x944e52f9,32
2497577298,0x94de0152,32
2500218897,0x95065011,32
2511667785,0x95b50249,32
2520768065,0x963fde41,32
2531725185,0x96e70f81,32
2532166766,0x96edcc6e,32
2537102708,0x97391d74,32
2569675370,0x992a226a,32
2579671505,0x99c2a9d1,32
2588370268,0x9a47655c,32
2599354344,0x9aeeffe8,32
2616244373,0x9bf0b895,32
2632753965,0x9ceca32d,32
2633566846,0x9cf90a7e,32
2649782025,0x9df07709,32
2666405572,0x9eee1ec4,32
2669269051,0x9f19d03b,32
2681398208,0x9fd2e3c0,32
2686145405,0xa01b537d,32
2698155526,0xa0d29606,32
2705160730,0xa13d7a1a,32
2718548285,0xa209c13d,32
2722945629,0xa24cda5d,32
2733271103,0xa2ea683f,32
2736025691,0xa314705b,32
2747963166,0xa3ca971e,32
2757883298,0xa461f5a2,32
2759189849,0xa475e559,32
2760996806,0xa49177c6,32
2778029922,0xa5955f62,32
2779394237,0xa5aa30bd,32
2797620921,0xa6c04eb9,32
2814567297,0xa7c2e381,32
2833134409,0xa8de3349,32
2833215531,0xa8df702b,32
2840910003,0xa954d8b3,32
2863311530,0xaaaaaaaa,32
2866409501,0xaad9f01d,32
2868297056,0xaaf6bd60,32
2890167931,0xac44767b,32
2901831933,0xacf670fd,32
2919670481,0xae06a2d1,32
2932370699,0xaec86d0b,32
2938030619,0xaf1eca1b,32
2943648044,0xaf74812c,32
2944325472,0xaf7ed760,32
2949813029,0xafd29325,32
2967751107,0xb0e449c3,32
2986673939,0xb2050713,32
2988456336,0xb2203990,32
2993655524,0xb26f8ee4,32
2999846407,0xb2ce0607,32
3000144660,0xb2d29314,32
3000507890,0xb2d81df2,32
3006062200,0xb32cde78,32
3012009161,0xb3879cc9,32
3016516422,0xb3cc6346,32
3020007785,0xb401a969,32
3024451334,0xb4457706,32
3027578541,0xb4752ead,32
3056907904,0xb634b680,32
3058460322,0xb64c66a2,32
3062110493,0xb684191d,32
3078203325,0xb779a7bd,32
3086850705,0xb7fd9a91,32
3095821204,0xb8867b94,32
3104784670,0xb90f411e,32
3157321678,0xbc30e7ce,32
3169886553,0xbcf0a159,32
3178704476,0xbd772e5c,32
3186635807,0xbdf0341f,32
3193277027,0xbe558a63,32
3195150937,0xbe722259,32
3198740994,0xbea8ea02,32
3210087378,0xbf560bd2,32
3216162263,0xbfb2bdd7,32
3246539226,0xc18241da,32
3289925736,0xc4184868,32
3315870050,0xc5a42962,32
3323088277,0xc6124d95,32
3334032155,0xc6b94b1b,32
3344771181,0xc75d286d,32
3357686898,0xc8223c72,32
3368317010,0xc8c47052,32
3376856570,0xc946bdfa,32
3407006790,0xcb12cc46,32
3410170657,0xcb431321,32
3425400780,0xcc2b77cc,32
3435973836,0xcccccccc,32
3449421996,0xcd9a00ac,32
3477540249,0xcf470d99,32
3512048316,0xd1559abc,32
